,i,r,p,g,mbrew,mbpun,mfrew,mfpun,subject,switching
1,1,0,1,1,0,0,0,1,1,0
2,1,0,0,-1,0,0,-1,0,1,1
3,1,0,0,1,0,0,0,1,1,0
4,1,0,-1,-1,0,-1,1,0,1,0
5,1,1,1,1,1,0,0,1,1,0
6,1,0,1,-1,0,1,-1,0,1,0
7,1,0,0,1,0,0,0,1,1,0
8,1,1,-1,-1,0,-1,1,0,1,1
9,1,0,-1,1,0,0,0,-1,1,0
10,1,0,0,-1,0,0,-1,0,1,1
11,1,-1,1,1,-1,0,0,1,1,0
12,1,1,1,-1,0,1,1,0,1,1
13,1,-1,-1,1,-1,0,0,-1,1,1
14,1,0,0,-1,0,0,1,0,1,1
15,1,0,-1,1,0,0,0,-1,1,1
16,1,0,-1,-1,0,-1,-1,0,1,1
17,1,0,-1,1,0,0,0,-1,1,1
18,1,-1,1,-1,0,1,-1,0,1,1
19,1,0,-1,1,0,0,0,-1,1,0
20,1,1,-1,-1,0,-1,1,0,1,1
21,1,-1,0,1,-1,0,0,-1,1,0
22,1,-1,0,-1,0,0,-1,0,1,0
23,1,-1,1,1,-1,0,0,1,1,1
24,1,1,0,-1,0,0,1,0,1,1
25,1,0,-1,1,0,0,0,-1,1,1
26,1,0,0,-1,0,0,-1,0,1,1
27,1,0,0,1,0,0,0,1,1,1
28,1,1,-1,-1,0,-1,1,0,1,0
29,1,0,0,1,0,0,0,1,1,0
30,1,1,-1,-1,0,-1,1,0,1,0
31,1,0,1,1,0,0,0,1,1,1
32,1,0,1,-1,0,1,1,0,1,0
33,1,-1,0,1,-1,0,0,-1,1,1
34,1,0,0,-1,0,0,-1,0,1,1
35,1,0,1,1,0,0,0,1,1,1
36,1,1,-1,-1,0,-1,1,0,1,1
37,1,0,1,1,0,0,0,1,1,1
38,1,0,0,-1,0,0,-1,0,1,1
39,1,1,0,1,1,0,0,1,1,1
40,1,0,0,-1,0,0,-1,0,1,0
41,1,-1,0,1,-1,0,0,-1,1,1
42,1,1,0,-1,0,0,1,0,1,1
43,1,0,1,1,0,0,0,1,1,1
44,1,1,1,-1,0,1,1,0,1,1
45,1,0,-1,1,0,0,0,-1,1,1
46,1,0,0,-1,0,0,1,0,1,1
47,1,0,1,1,0,0,0,1,1,1
48,1,0,0,-1,0,0,-1,0,1,0
49,1,0,1,1,0,0,0,1,1,0
50,1,0,0,-1,0,0,1,0,1,0
51,1,-1,-1,1,-1,0,0,-1,1,1
52,1,0,0,-1,0,0,1,0,1,0
53,1,0,0,1,0,0,0,1,1,1
54,1,-1,1,-1,0,1,-1,0,1,0
55,1,0,0,1,0,0,0,1,1,1
56,1,-1,-1,-1,0,-1,-1,0,1,1
57,1,0,-1,1,0,0,0,-1,1,1
58,1,-1,-1,-1,0,-1,-1,0,1,1
59,1,1,1,1,1,0,0,1,1,0
60,1,-1,-1,-1,0,-1,-1,0,1,0
61,1,-1,-1,1,-1,0,0,-1,1,0
62,1,-1,0,-1,0,0,-1,0,1,1
63,1,-1,1,1,-1,0,0,1,1,1
64,1,1,-1,-1,0,-1,1,0,1,0
65,1,0,-1,1,0,0,0,-1,1,0
66,1,0,-1,-1,0,-1,1,0,1,1
67,1,-1,0,1,-1,0,0,-1,1,1
1,1,0,-1,1,0,0,0,-1,2,0
2,1,-1,-1,-1,0,-1,-1,0,2,1
3,1,0,0,1,0,0,0,1,2,0
4,1,-1,0,-1,0,0,-1,0,2,0
5,1,0,1,1,0,0,0,1,2,0
6,1,-1,0,-1,0,0,-1,0,2,0
7,1,0,-1,1,0,0,0,-1,2,1
8,1,1,0,-1,0,0,1,0,2,0
9,1,0,-1,1,0,0,0,-1,2,1
10,1,0,1,-1,0,1,-1,0,2,1
11,1,-1,0,1,-1,0,0,1,2,1
12,1,-1,0,-1,0,0,-1,0,2,0
13,1,-1,0,1,-1,0,0,1,2,1
14,1,-1,-1,-1,0,-1,-1,0,2,0
15,1,1,-1,1,1,0,0,-1,2,0
16,1,0,-1,-1,0,-1,1,0,2,0
17,1,0,-1,1,0,0,0,-1,2,1
18,1,1,-1,-1,0,-1,1,0,2,0
19,1,0,0,1,0,0,0,-1,2,0
20,1,0,-1,-1,0,-1,-1,0,2,1
21,1,0,0,1,0,0,0,-1,2,0
22,1,1,0,-1,0,0,1,0,2,1
23,1,0,1,1,0,0,0,1,2,1
24,1,0,0,-1,0,0,1,0,2,1
25,1,0,0,1,0,0,0,1,2,0
26,1,0,-1,-1,0,-1,1,0,2,0
27,1,0,1,1,0,0,0,1,2,1
28,1,1,1,-1,0,1,1,0,2,0
29,1,-1,0,1,-1,0,0,1,2,0
30,1,0,1,-1,0,1,-1,0,2,1
31,1,0,-1,1,0,0,0,-1,2,1
32,1,0,1,-1,0,1,-1,0,2,1
33,1,0,-1,1,0,0,0,-1,2,0
34,1,0,0,-1,0,0,1,0,2,1
35,1,1,0,1,1,0,0,1,2,0
36,1,-1,1,-1,0,1,-1,0,2,0
37,1,0,-1,1,0,0,0,-1,2,0
38,1,0,0,-1,0,0,1,0,2,1
39,1,0,0,1,0,0,0,-1,2,1
40,1,0,0,-1,0,0,-1,0,2,0
41,1,1,0,1,1,0,0,1,2,0
42,1,1,1,-1,0,1,1,0,2,0
43,1,0,-1,1,0,0,0,-1,2,0
44,1,0,-1,-1,0,-1,1,0,2,0
45,1,0,0,1,0,0,0,1,2,0
46,1,-1,1,-1,0,1,-1,0,2,0
47,1,1,0,1,1,0,0,1,2,0
48,1,1,1,-1,0,1,1,0,2,1
49,1,0,0,1,0,0,0,1,2,1
50,1,0,0,-1,0,0,1,0,2,1
51,1,0,0,1,0,0,0,-1,2,0
52,1,0,-1,-1,0,-1,1,0,2,0
53,1,1,0,1,1,0,0,-1,2,1
54,1,0,-1,-1,0,-1,1,0,2,1
55,1,0,0,1,0,0,0,1,2,1
56,1,0,0,-1,0,0,-1,0,2,1
57,1,0,0,1,0,0,0,1,2,1
58,1,-1,0,-1,0,0,-1,0,2,0
59,1,-1,0,1,-1,0,0,-1,2,1
60,1,-1,-1,-1,0,-1,-1,0,2,0
61,1,-1,0,1,-1,0,0,1,2,1
62,1,1,1,-1,0,1,1,0,2,0
63,1,0,1,1,0,0,0,1,2,1
64,1,1,0,-1,0,0,1,0,2,0
65,1,1,0,1,1,0,0,1,2,0
66,1,1,1,-1,0,1,1,0,2,1
67,1,-1,0,1,-1,0,0,-1,2,1
1,1,1,1,1,1,0,0,1,3,0
2,1,-1,-1,-1,0,-1,-1,0,3,0
3,1,0,-1,1,0,0,0,-1,3,0
4,1,0,0,-1,0,0,-1,0,3,1
5,1,-1,-1,1,-1,0,0,-1,3,0
6,1,-1,0,-1,0,0,-1,0,3,0
7,1,1,1,1,1,0,0,1,3,1
8,1,0,-1,-1,0,-1,-1,0,3,0
9,1,0,-1,1,0,0,0,-1,3,0
10,1,0,0,-1,0,0,1,0,3,0
11,1,0,0,1,0,0,0,-1,3,0
12,1,1,0,-1,0,0,1,0,3,0
13,1,0,0,1,0,0,0,-1,3,1
14,1,0,0,-1,0,0,1,0,3,0
15,1,-1,1,1,-1,0,0,1,3,0
16,1,0,-1,-1,0,-1,1,0,3,0
17,1,0,0,1,0,0,0,1,3,0
18,1,0,0,-1,0,0,-1,0,3,1
19,1,1,-1,1,1,0,0,-1,3,1
20,1,-1,1,-1,0,1,-1,0,3,1
21,1,1,0,1,1,0,0,-1,3,1
22,1,-1,1,-1,0,1,-1,0,3,0
23,1,-1,1,1,-1,0,0,1,3,0
24,1,0,1,-1,0,1,-1,0,3,1
25,1,1,-1,1,1,0,0,-1,3,1
26,1,-1,1,-1,0,1,-1,0,3,1
27,1,0,0,1,0,0,0,1,3,1
28,1,-1,1,-1,0,1,-1,0,3,1
29,1,0,1,1,0,0,0,1,3,0
30,1,0,0,-1,0,0,-1,0,3,1
31,1,0,0,1,0,0,0,-1,3,1
32,1,0,0,-1,0,0,1,0,3,1
33,1,0,1,1,0,0,0,1,3,1
34,1,-1,0,-1,0,0,-1,0,3,0
35,1,0,1,1,0,0,0,1,3,1
36,1,0,-1,-1,0,-1,-1,0,3,1
37,1,0,1,1,0,0,0,1,3,0
38,1,-1,1,-1,0,1,-1,0,3,0
39,1,-1,1,1,-1,0,0,1,3,0
40,1,-1,0,-1,0,0,-1,0,3,0
41,1,0,0,1,0,0,0,-1,3,0
42,1,0,1,-1,0,1,-1,0,3,0
43,1,0,1,1,0,0,0,1,3,0
44,1,1,0,-1,0,0,1,0,3,0
45,1,0,0,1,0,0,0,1,3,0
46,1,0,0,-1,0,0,-1,0,3,0
47,1,-1,1,1,-1,0,0,1,3,0
48,1,0,-1,-1,0,-1,1,0,3,0
49,1,0,-1,1,0,0,0,-1,3,0
50,1,1,-1,-1,0,-1,1,0,3,0
51,1,1,-1,1,1,0,0,-1,3,0
52,1,1,0,-1,0,0,1,0,3,0
53,1,0,1,1,0,0,0,1,3,0
54,1,-1,-1,-1,0,-1,-1,0,3,0
55,1,0,0,1,0,0,0,-1,3,0
56,1,0,-1,-1,0,-1,1,0,3,0
57,1,0,0,1,0,0,0,1,3,0
58,1,1,1,-1,0,1,1,0,3,0
59,1,0,1,1,0,0,0,1,3,0
60,1,0,0,-1,0,0,-1,0,3,0
61,1,0,1,1,0,0,0,1,3,0
62,1,-1,0,-1,0,0,-1,0,3,0
63,1,-1,1,1,-1,0,0,1,3,0
64,1,1,1,-1,0,1,1,0,3,0
65,1,0,0,1,0,0,0,1,3,0
66,1,0,1,-1,0,1,1,0,3,0
67,1,0,1,1,0,0,0,1,3,0
1,1,0,1,-1,0,1,-1,0,4,1
2,1,0,-1,1,0,0,0,-1,4,1
3,1,0,0,-1,0,0,1,0,4,1
4,1,0,0,1,0,0,0,-1,4,1
5,1,0,0,-1,0,0,-1,0,4,1
6,1,0,-1,1,0,0,0,-1,4,0
7,1,1,0,-1,0,0,1,0,4,0
8,1,-1,1,1,-1,0,0,1,4,1
9,1,1,0,-1,0,0,1,0,4,0
10,1,1,0,1,1,0,0,1,4,0
11,1,1,0,-1,0,0,1,0,4,0
12,1,1,0,1,1,0,0,1,4,0
13,1,-1,0,-1,0,0,-1,0,4,1
14,1,-1,0,1,-1,0,0,-1,4,1
15,1,-1,1,-1,0,1,-1,0,4,1
16,1,0,0,1,0,0,0,1,4,1
17,1,-1,1,-1,0,1,-1,0,4,0
18,1,0,0,1,0,0,0,1,4,1
19,1,0,0,-1,0,0,1,0,4,1
20,1,1,1,1,1,0,0,1,4,1
21,1,0,1,-1,0,1,-1,0,4,1
22,1,1,1,1,1,0,0,1,4,1
23,1,1,0,-1,0,0,1,0,4,0
24,1,1,0,1,1,0,0,-1,4,1
25,1,-1,-1,-1,0,-1,-1,0,4,0
26,1,0,0,1,0,0,0,-1,4,1
27,1,1,1,-1,0,1,1,0,4,1
28,1,0,0,1,0,0,0,1,4,1
29,1,-1,1,-1,0,1,-1,0,4,0
30,1,0,0,1,0,0,0,-1,4,1
31,1,1,0,-1,0,0,1,0,4,1
32,1,-1,1,1,-1,0,0,1,4,1
33,1,0,0,-1,0,0,1,0,4,0
34,1,1,0,1,1,0,0,1,4,1
35,1,0,1,-1,0,1,1,0,4,1
36,1,-1,0,1,-1,0,0,-1,4,1
37,1,-1,1,-1,0,1,-1,0,4,0
38,1,0,0,1,0,0,0,1,4,0
39,1,1,-1,-1,0,-1,1,0,4,1
40,1,-1,0,1,-1,0,0,1,4,1
41,1,0,-1,-1,0,-1,1,0,4,1
42,1,1,1,1,1,0,0,1,4,0
43,1,0,-1,-1,0,-1,-1,0,4,0
44,1,0,0,1,0,0,0,1,4,0
45,1,0,-1,-1,0,-1,-1,0,4,1
46,1,0,-1,1,0,0,0,-1,4,1
47,1,-1,0,-1,0,0,-1,0,4,0
48,1,0,-1,1,0,0,0,-1,4,1
49,1,0,-1,-1,0,-1,1,0,4,1
50,1,-1,0,1,-1,0,0,1,4,1
51,1,1,0,-1,0,0,1,0,4,0
52,1,-1,1,1,-1,0,0,1,4,0
53,1,0,-1,-1,0,-1,-1,0,4,0
54,1,1,-1,1,1,0,0,-1,4,0
55,1,0,1,-1,0,1,-1,0,4,1
56,1,1,0,1,1,0,0,1,4,0
57,1,-1,0,-1,0,0,-1,0,4,0
58,1,-1,0,1,-1,0,0,1,4,1
59,1,0,-1,-1,0,-1,1,0,4,1
60,1,0,0,1,0,0,0,1,4,1
61,1,0,0,-1,0,0,1,0,4,1
62,1,-1,-1,1,-1,0,0,-1,4,0
63,1,0,-1,-1,0,-1,-1,0,4,1
64,1,0,1,1,0,0,0,1,4,1
65,1,-1,1,-1,0,1,-1,0,4,1
66,1,0,0,0,0,0,0,0,4,1
67,1,0,0,0,0,0,0,0,4,1
1,1,1,1,-1,0,1,1,0,5,0
2,1,-1,1,1,-1,0,0,1,5,1
3,1,0,-1,-1,0,-1,1,0,5,1
4,1,-1,-1,1,-1,0,0,-1,5,1
5,1,0,-1,-1,0,-1,1,0,5,1
6,1,0,-1,1,0,0,0,-1,5,0
7,1,1,1,-1,0,1,1,0,5,1
8,1,-1,-1,1,-1,0,0,-1,5,1
9,1,0,-1,-1,0,-1,-1,0,5,0
10,1,1,0,1,1,0,0,-1,5,1
11,1,-1,1,-1,0,1,-1,0,5,1
12,1,1,0,1,1,0,0,1,5,0
13,1,1,1,-1,0,1,1,0,5,0
14,1,1,-1,1,1,0,0,-1,5,1
15,1,1,1,-1,0,1,1,0,5,0
16,1,0,-1,1,0,0,0,-1,5,1
17,1,1,0,-1,0,0,1,0,5,0
18,1,0,0,1,0,0,0,-1,5,0
19,1,0,0,-1,0,0,1,0,5,0
20,1,-1,1,1,-1,0,0,1,5,1
21,1,1,-1,-1,0,-1,1,0,5,0
22,1,0,1,1,0,0,0,1,5,1
23,1,-1,0,-1,0,0,-1,0,5,1
24,1,-1,1,1,-1,0,0,1,5,0
25,1,-1,1,-1,0,1,-1,0,5,1
26,1,1,1,1,1,0,0,1,5,0
27,1,1,0,-1,0,0,1,0,5,0
28,1,0,0,1,0,0,0,-1,5,0
29,1,0,0,-1,0,0,1,0,5,0
30,1,-1,0,1,-1,0,0,-1,5,0
31,1,0,1,-1,0,1,-1,0,5,1
32,1,1,0,1,1,0,0,1,5,0
33,1,-1,1,-1,0,1,-1,0,5,1
34,1,1,-1,1,1,0,0,-1,5,1
35,1,-1,0,-1,0,0,-1,0,5,0
36,1,0,-1,1,0,0,0,-1,5,1
37,1,-1,1,-1,0,1,-1,0,5,1
38,1,1,0,1,1,0,0,-1,5,1
39,1,0,0,-1,0,0,-1,0,5,0
40,1,0,0,1,0,0,0,1,5,0
41,1,-1,0,-1,0,0,-1,0,5,0
42,1,0,-1,1,0,0,0,-1,5,1
43,1,-1,0,-1,0,0,-1,0,5,0
44,1,0,0,1,0,0,0,-1,5,0
45,1,0,-1,-1,0,-1,1,0,5,1
46,1,-1,1,1,-1,0,0,1,5,1
47,1,0,0,-1,0,0,1,0,5,0
48,1,-1,0,1,-1,0,0,1,5,1
49,1,1,0,-1,0,0,1,0,5,0
50,1,0,1,1,0,0,0,1,5,0
51,1,0,0,-1,0,0,1,0,5,1
52,1,0,0,1,0,0,0,1,5,0
53,1,0,-1,-1,0,-1,1,0,5,1
54,1,-1,0,1,-1,0,0,-1,5,0
55,1,1,1,-1,0,1,1,0,5,0
56,1,0,0,1,0,0,0,1,5,1
57,1,0,-1,-1,0,-1,-1,0,5,0
58,1,0,0,1,0,0,0,1,5,0
59,1,1,0,-1,0,0,1,0,5,0
60,1,1,0,1,1,0,0,-1,5,0
61,1,0,-1,-1,0,-1,1,0,5,0
62,1,0,0,1,0,0,0,1,5,0
63,1,-1,0,-1,0,0,-1,0,5,1
64,1,1,1,1,1,0,0,1,5,0
65,1,1,1,-1,0,1,1,0,5,1
66,1,-1,0,1,-1,0,0,1,5,0
67,1,0,-1,-1,0,-1,-1,0,5,1
1,1,-1,1,-1,0,1,-1,0,6,1
2,1,0,1,1,0,0,0,1,6,0
3,1,0,1,-1,0,1,1,0,6,0
4,1,0,-1,1,0,0,0,-1,6,1
5,1,1,0,-1,0,0,1,0,6,1
6,1,-1,1,1,-1,0,0,1,6,1
7,1,-1,-1,-1,0,-1,-1,0,6,1
8,1,1,1,1,1,0,0,1,6,1
9,1,-1,0,-1,0,0,-1,0,6,0
10,1,1,-1,1,1,0,0,-1,6,1
11,1,1,0,-1,0,0,1,0,6,0
12,1,1,0,1,1,0,0,1,6,1
13,1,0,1,-1,0,1,-1,0,6,0
14,1,1,1,1,1,0,0,1,6,1
15,1,-1,1,-1,0,1,-1,0,6,1
16,1,1,-1,1,1,0,0,-1,6,1
17,1,0,-1,-1,0,-1,1,0,6,0
18,1,0,0,1,0,0,0,1,6,0
19,1,-1,0,-1,0,0,-1,0,6,1
20,1,1,-1,1,1,0,0,-1,6,1
21,1,0,1,-1,0,1,-1,0,6,1
22,1,0,0,1,0,0,0,1,6,1
23,1,0,-1,-1,0,-1,1,0,6,0
24,1,0,-1,1,0,0,0,-1,6,1
25,1,0,0,-1,0,0,1,0,6,1
26,1,1,-1,1,1,0,0,-1,6,1
27,1,1,1,-1,0,1,1,0,6,0
28,1,1,0,1,1,0,0,-1,6,1
29,1,-1,1,-1,0,1,-1,0,6,1
30,1,0,0,1,0,0,0,-1,6,1
31,1,1,0,-1,0,0,1,0,6,1
32,1,0,0,1,0,0,0,-1,6,0
33,1,-1,-1,-1,0,-1,-1,0,6,1
34,1,1,0,1,1,0,0,1,6,1
35,1,-1,1,-1,0,1,-1,0,6,1
36,1,0,0,1,0,0,0,1,6,1
37,1,0,-1,-1,0,-1,-1,0,6,0
38,1,-1,1,1,-1,0,0,1,6,1
39,1,0,1,-1,0,1,-1,0,6,1
40,1,1,-1,1,1,0,0,-1,6,0
41,1,0,-1,-1,0,-1,1,0,6,0
42,1,0,-1,1,0,0,0,-1,6,0
43,1,0,0,-1,0,0,1,0,6,0
44,1,1,-1,1,1,0,0,-1,6,1
45,1,-1,0,-1,0,0,-1,0,6,1
46,1,0,1,1,0,0,0,1,6,0
47,1,0,-1,-1,0,-1,1,0,6,0
48,1,1,0,1,1,0,0,-1,6,1
49,1,0,0,-1,0,0,1,0,6,1
50,1,0,0,1,0,0,0,1,6,1
51,1,0,0,-1,0,0,1,0,6,0
52,1,-1,1,1,-1,0,0,1,6,0
53,1,0,0,-1,0,0,-1,0,6,1
54,1,0,0,1,0,0,0,-1,6,1
55,1,0,0,-1,0,0,-1,0,6,1
56,1,0,-1,1,0,0,0,-1,6,1
57,1,1,1,-1,0,1,1,0,6,0
58,1,1,1,1,1,0,0,1,6,1
59,1,0,-1,-1,0,-1,1,0,6,1
60,1,-1,0,1,-1,0,0,-1,6,1
61,1,1,1,-1,0,1,1,0,6,1
62,1,0,1,1,0,0,0,1,6,1
63,1,1,-1,-1,0,-1,1,0,6,0
64,1,0,0,0,0,0,0,0,6,1
65,1,0,0,0,0,0,0,0,6,1
66,1,0,0,0,0,0,0,0,6,1
67,1,0,0,0,0,0,0,0,6,1
1,1,0,0,1,0,0,0,-1,7,1
2,1,-1,-1,-1,0,-1,-1,0,7,0
3,1,0,0,1,0,0,0,1,7,1
4,1,1,0,-1,0,0,1,0,7,0
5,1,1,1,1,1,0,0,1,7,1
6,1,-1,-1,-1,0,-1,-1,0,7,0
7,1,-1,0,1,-1,0,0,-1,7,1
8,1,0,1,-1,0,1,-1,0,7,1
9,1,0,-1,1,0,0,0,-1,7,0
10,1,0,1,-1,0,1,1,0,7,1
11,1,0,0,1,0,0,0,1,7,1
12,1,-1,1,-1,0,1,-1,0,7,0
13,1,-1,0,1,-1,0,0,1,7,1
14,1,0,-1,-1,0,-1,-1,0,7,1
15,1,0,-1,1,0,0,0,-1,7,1
16,1,0,-1,-1,0,-1,-1,0,7,0
17,1,0,1,1,0,0,0,1,7,1
18,1,0,1,-1,0,1,1,0,7,1
19,1,1,1,1,1,0,0,1,7,1
20,1,0,0,-1,0,0,1,0,7,1
21,1,1,-1,1,1,0,0,-1,7,0
22,1,-1,-1,-1,0,-1,-1,0,7,0
23,1,0,0,1,0,0,0,-1,7,0
24,1,1,1,-1,0,1,1,0,7,1
25,1,1,0,1,1,0,0,-1,7,1
26,1,1,-1,-1,0,-1,1,0,7,1
27,1,1,0,1,1,0,0,-1,7,1
28,1,1,0,-1,0,0,1,0,7,0
29,1,1,0,1,1,0,0,-1,7,1
30,1,0,0,-1,0,0,1,0,7,1
31,1,0,-1,1,0,0,0,-1,7,1
32,1,1,-1,-1,0,-1,1,0,7,1
33,1,0,1,1,0,0,0,1,7,1
34,1,-1,-1,-1,0,-1,-1,0,7,0
35,1,0,0,1,0,0,0,-1,7,0
36,1,-1,0,-1,0,0,-1,0,7,1
37,1,1,-1,1,1,0,0,-1,7,0
38,1,0,-1,-1,0,-1,1,0,7,1
39,1,-1,0,1,-1,0,0,1,7,1
40,1,1,0,-1,0,0,1,0,7,1
41,1,1,-1,1,1,0,0,-1,7,0
42,1,0,0,-1,0,0,1,0,7,1
43,1,0,0,1,0,0,0,-1,7,1
44,1,-1,0,-1,0,0,-1,0,7,1
45,1,-1,0,1,-1,0,0,1,7,1
46,1,0,-1,-1,0,-1,1,0,7,0
47,1,0,0,1,0,0,0,-1,7,0
48,1,0,0,-1,0,0,-1,0,7,1
49,1,-1,0,1,-1,0,0,-1,7,1
50,1,0,-1,-1,0,-1,1,0,7,1
51,1,0,0,1,0,0,0,-1,7,1
52,1,1,1,-1,0,1,1,0,7,1
53,1,0,-1,1,0,0,0,-1,7,1
54,1,0,0,-1,0,0,1,0,7,0
55,1,1,-1,1,1,0,0,-1,7,0
56,1,1,0,-1,0,0,1,0,7,0
57,1,1,1,1,1,0,0,1,7,0
58,1,0,1,-1,0,1,1,0,7,1
59,1,0,0,1,0,0,0,-1,7,0
60,1,-1,0,-1,0,0,-1,0,7,0
61,1,1,0,1,1,0,0,-1,7,1
62,1,0,1,-1,0,1,-1,0,7,0
63,1,-1,-1,1,-1,0,0,-1,7,1
64,1,1,0,-1,0,0,1,0,7,0
65,1,0,-1,1,0,0,0,-1,7,0
66,1,1,1,-1,0,1,1,0,7,0
67,1,1,0,1,1,0,0,1,7,0
1,1,-1,-1,-1,0,-1,-1,0,8,1
2,1,0,-1,1,0,0,0,-1,8,1
3,1,-1,1,-1,0,1,-1,0,8,1
4,1,0,0,1,0,0,0,1,8,0
5,1,1,1,-1,0,1,1,0,8,0
6,1,0,-1,1,0,0,0,-1,8,0
7,1,0,1,-1,0,1,-1,0,8,1
8,1,1,-1,1,1,0,0,-1,8,0
9,1,1,-1,-1,0,-1,1,0,8,0
10,1,0,1,1,0,0,0,1,8,0
11,1,-1,-1,-1,0,-1,-1,0,8,1
12,1,1,0,1,1,0,0,1,8,0
13,1,-1,0,-1,0,0,-1,0,8,1
14,1,0,1,1,0,0,0,1,8,0
15,1,-1,0,-1,0,0,-1,0,8,0
16,1,0,1,1,0,0,0,1,8,1
17,1,0,-1,-1,0,-1,1,0,8,1
18,1,0,1,1,0,0,0,1,8,1
19,1,0,0,-1,0,0,1,0,8,0
20,1,-1,1,1,-1,0,0,1,8,1
21,1,1,-1,-1,0,-1,1,0,8,0
22,1,0,1,1,0,0,0,1,8,1
23,1,0,0,-1,0,0,1,0,8,1
24,1,1,0,1,1,0,0,-1,8,0
25,1,1,-1,-1,0,-1,1,0,8,0
26,1,1,0,1,1,0,0,-1,8,0
27,1,1,0,-1,0,0,1,0,8,0
28,1,0,0,1,0,0,0,-1,8,0
29,1,-1,0,-1,0,0,-1,0,8,1
30,1,0,0,1,0,0,0,-1,8,0
31,1,1,-1,-1,0,-1,1,0,8,0
32,1,0,1,1,0,0,0,1,8,1
33,1,-1,0,-1,0,0,-1,0,8,0
34,1,0,1,1,0,0,0,1,8,1
35,1,1,-1,-1,0,-1,1,0,8,0
36,1,0,-1,1,0,0,0,-1,8,1
37,1,0,0,-1,0,0,1,0,8,0
38,1,-1,0,1,-1,0,0,1,8,1
39,1,-1,1,-1,0,1,-1,0,8,1
40,1,0,1,1,0,0,0,1,8,1
41,1,1,-1,-1,0,-1,1,0,8,0
42,1,0,-1,1,0,0,0,-1,8,0
43,1,1,0,-1,0,0,1,0,8,0
44,1,0,0,1,0,0,0,1,8,1
45,1,1,0,-1,0,0,1,0,8,0
46,1,0,-1,1,0,0,0,-1,8,1
47,1,0,-1,-1,0,-1,-1,0,8,0
48,1,1,-1,1,1,0,0,-1,8,1
49,1,1,0,-1,0,0,1,0,8,0
50,1,1,0,1,1,0,0,-1,8,0
51,1,0,0,-1,0,0,1,0,8,0
52,1,0,-1,1,0,0,0,-1,8,0
53,1,1,0,-1,0,0,1,0,8,0
54,1,-1,0,1,-1,0,0,1,8,1
55,1,0,0,-1,0,0,1,0,8,0
56,1,0,0,1,0,0,0,1,8,1
57,1,1,1,-1,0,1,1,0,8,0
58,1,-1,0,1,-1,0,0,1,8,1
59,1,1,0,-1,0,0,1,0,8,0
60,1,0,1,1,0,0,0,1,8,1
61,1,0,0,-1,0,0,1,0,8,0
62,1,-1,-1,1,-1,0,0,-1,8,1
63,1,0,0,-1,0,0,-1,0,8,0
64,1,0,-1,1,0,0,0,-1,8,0
65,1,0,0,-1,0,0,-1,0,8,1
66,1,-1,-1,1,-1,0,0,-1,8,1
67,1,1,1,-1,0,1,1,0,8,0
1,1,-1,-1,-1,0,-1,-1,0,9,1
2,1,0,1,1,0,0,0,1,9,1
3,1,0,-1,-1,0,-1,1,0,9,0
4,1,-1,-1,1,-1,0,0,-1,9,1
5,1,0,0,-1,0,0,-1,0,9,0
6,1,-1,0,1,-1,0,0,-1,9,1
7,1,0,1,-1,0,1,-1,0,9,1
8,1,-1,-1,1,-1,0,0,-1,9,1
9,1,0,0,-1,0,0,-1,0,9,0
10,1,-1,-1,1,-1,0,0,-1,9,1
11,1,-1,0,-1,0,0,-1,0,9,0
12,1,-1,1,1,-1,0,0,1,9,1
13,1,1,0,-1,0,0,1,0,9,0
14,1,-1,0,1,-1,0,0,-1,9,0
15,1,-1,1,-1,0,1,-1,0,9,1
16,1,-1,0,1,-1,0,0,-1,9,1
17,1,1,0,-1,0,0,1,0,9,1
18,1,0,1,1,0,0,0,1,9,1
19,1,-1,1,-1,0,1,-1,0,9,1
20,1,0,1,1,0,0,0,1,9,1
21,1,1,-1,-1,0,-1,1,0,9,0
22,1,0,-1,1,0,0,0,-1,9,0
23,1,-1,-1,-1,0,-1,-1,0,9,1
24,1,0,0,1,0,0,0,-1,9,0
25,1,0,-1,-1,0,-1,-1,0,9,0
26,1,0,-1,1,0,0,0,-1,9,0
27,1,1,-1,-1,0,-1,1,0,9,0
28,1,1,-1,1,1,0,0,-1,9,0
29,1,-1,1,-1,0,1,-1,0,9,1
30,1,0,-1,1,0,0,0,-1,9,0
31,1,-1,-1,-1,0,-1,-1,0,9,1
32,1,1,-1,1,1,0,0,-1,9,0
33,1,-1,-1,-1,0,-1,-1,0,9,0
34,1,-1,0,1,-1,0,0,-1,9,0
35,1,-1,0,-1,0,0,-1,0,9,1
36,1,0,0,1,0,0,0,1,9,0
37,1,1,-1,-1,0,-1,1,0,9,0
38,1,0,0,1,0,0,0,1,9,0
39,1,0,-1,-1,0,-1,-1,0,9,1
40,1,-1,0,1,-1,0,0,-1,9,1
41,1,0,0,-1,0,0,1,0,9,1
42,1,1,0,1,1,0,0,1,9,1
43,1,-1,1,-1,0,1,-1,0,9,1
44,1,0,1,1,0,0,0,1,9,0
45,1,1,0,-1,0,0,1,0,9,0
46,1,0,1,1,0,0,0,1,9,0
47,1,0,0,-1,0,0,-1,0,9,1
48,1,0,1,1,0,0,0,1,9,1
49,1,-1,0,-1,0,0,-1,0,9,1
50,1,1,1,1,1,0,0,1,9,0
51,1,0,0,-1,0,0,1,0,9,0
